doc_id,cleaned_text,bertopic_topic,bertopic_probability
101718210,first airbandb experience lovely time sue jonathon made feel home especially helpful providing portacot highchair toy made traveling baby three year old easier thanks help making holiday special,-1,0.0
348198107,room super cosy location convenient doubt great place rob introduced many place attraction thanks great host,-1,0.0
193521924,lovely house stylish thoughtful touch felt like home away home immediately located huge park close sydney rd recommend,-1,0.0
346233735,nice location close trans easy get around unit lovely clean equipped need including underground park loved place forget swimmer pool,8,1.0
216021812,great place felt welcome nick home happiest location,-1,0.0
241351319,great location check city suburb description photo give good idea expect gym pool sauna good,8,1.0
329443695,jennifer studio hoped close shop coffee across street tram stop brings city lovely breakfast touch greatly appreciated recommend place anyone,-1,0.0
349243242,host friendly responsive location property good public transport city close great place extended trip,-1,0.0
295623991,bill rose lane excellently located southern cross station free team city bourke thoroughly enjoyed trip offer great base exploring city new crisp finishing amenity really appreciated hospitality guy met explained access use amenties well thank letting drop bag early sure recommend friend go future,-1,0.0
65647463,ian accommodation fantastic located within heart city close public transport walking distance mcg sporting precinct ian pleasant deal informative regarding aspect accessing using look forward staying ian next visit,-1,0.0
308136242,nice place great view city great location clean helpful kind nice host choose come siu siu son cute,33,0.4715327946098902
331495104,unbeatable location awesome host ask,31,0.514385991653171
207274876,stayed curtain place group friend making cost effective spot location perfect trip giving access great bar restaurant making extremely ideal place quick getaway right bat sue great deal helpful coordinate need place see picture well maintained clean throughout bed nice comfy experience difficulty noise fact extremely quiet peaceful kitchen fully equipped useful sue enough supply get going morning hence need head breakfast extra like bottle wine cheese etc lovely arrival devoured thanks sue thoroughly enjoy hope next group trip,-1,0.0
129837149,far best experience joe mom maria excellent host made comfortable one house clean well arranged get ample fresh air sunlight amenity like shower bath fresh towel toiletry clean pillow linen room bedside cupboard keep ur belonging washing machine outside clothe drying line iron iron board required comfortable met joe father nice gentleman offered beer gave lot information area really nice chat recommend joe place anyone arrive experience best welcome really comfortable explore,-1,0.0
23831052,mari absolute dream host contacted way asking vegetarian put together breakfast hamper gave complete privacy provided needed offered information eat play music cottage place put together love care lovely tea local artist work wall fresh herb use website hidden go bower bird bliss love best wish host family,-1,0.0
349565621,fantastic location great communication grom host,-1,0.0
